iter,im_loss,no_replay_loss,replay_loss,ponder_loss,energy_no_replay,energy_replay,energy_start_no_replay,energy_start_replay,mean_last_dist
130,0.0011133779771625996,0.0017180932918563485,0.0005086628370918334,nan,-0.08843688666820526,-0.08897246420383453,-0.07615835964679718,-0.0889706239104271,0.023094020783901215
140,0.000848208786919713,0.001181426690891385,0.00051499082474038,nan,-0.09000654518604279,-0.08845869451761246,-0.07640333473682404,-0.0884549468755722,0.02208752930164337
150,0.000879715196788311,0.0012921768939122558,0.00046725349966436625,nan,-0.08637502789497375,-0.08944820612668991,-0.0738837867975235,-0.08944635093212128,0.021402882412075996
160,0.0008074796060100198,0.0011255608405917883,0.0004893984296359122,nan,-0.08846500515937805,-0.08700346201658249,-0.0764356255531311,-0.08700179308652878,0.021859969943761826
170,0.0007129348814487457,0.0010054674930870533,0.0004204024444334209,nan,-0.0888710543513298,-0.08934660255908966,-0.07512548565864563,-0.08934566378593445,0.02055959217250347
180,0.0008073971257545054,0.001140452572144568,0.00047434165026061237,nan,-0.08939824253320694,-0.08966304361820221,-0.07543830573558807,-0.0896615982055664,0.02126302383840084
190,0.0006676269695162773,0.0008593183010816574,0.0004759356379508972,nan,-0.08513632416725159,-0.09136746823787689,-0.07340668886899948,-0.09136591106653214,0.020778637379407883
200,0.0007450082339346409,0.0010003583738580346,0.0004896579775959253,nan,-0.08802228420972824,-0.08598028868436813,-0.07559706270694733,-0.0859772339463234,0.02098369598388672
210,0.0007566025014966726,0.001065701711922884,0.000447503145551309,nan,-0.08870260417461395,-0.0886668711900711,-0.07615727931261063,-0.08866598457098007,0.02082061767578125
220,0.0006799675757065415,0.0009148729150183499,0.00044506226549856365,nan,-0.08886711299419403,-0.08916294574737549,-0.07455650717020035,-0.0891614705324173,0.02056238241493702
230,0.0006676065968349576,0.000908193935174495,0.00042701922939158976,nan,-0.08798949420452118,-0.08985036611557007,-0.07472649216651917,-0.08984911441802979,0.020274024456739426
240,0.0006212338339537382,0.0007792739197611809,0.00046319389366544783,nan,-0.08858293294906616,-0.08880296349525452,-0.07545032352209091,-0.08880190551280975,0.02016913890838623
250,0.0006548834498971701,0.0008999165729619563,0.00040985032683238387,nan,-0.08689101785421371,-0.089643694460392,-0.07406504452228546,-0.08964261412620544,0.019711200147867203
260,0.0005827267304994166,0.0007397247245535254,0.00042572879465296865,nan,-0.08956294506788254,-0.08892601728439331,-0.076326385140419,-0.08892534673213959,0.019717827439308167
270,0.0006645626272074878,0.0008827551500871778,0.00044637019163928926,nan,-0.08791157603263855,-0.0899621769785881,-0.07495759427547455,-0.08996037393808365,0.020204761996865273
280,0.0006613363511860371,0.0009525365312583745,0.00037013620021753013,nan,-0.08817527443170547,-0.08852358162403107,-0.07406328618526459,-0.0885225236415863,0.019732505083084106
290,0.0005468395538628101,0.0006907822680659592,0.0004028969269711524,nan,-0.08748470991849899,-0.08843851089477539,-0.07485571503639221,-0.08843712508678436,0.01904754526913166
300,0.0004532970197033137,0.0005467447335831821,0.00035984927671961486,nan,-0.08987483382225037,-0.08648472279310226,-0.07658614218235016,-0.08648340404033661,0.017882538959383965
310,0.0005321743665263057,0.0007012004498392344,0.00036314825410954654,nan,-0.08941654860973358,-0.08946941792964935,-0.07559740543365479,-0.08946799486875534,0.018355010077357292
320,0.0005410817684605718,0.0006989704561419785,0.0003831931680906564,nan,-0.0896192118525505,-0.08706285804510117,-0.07620492577552795,-0.08706144243478775,0.01845592074096203
330,0.0005424882401712239,0.0007126671262085438,0.0003723094705492258,nan,-0.08635953813791275,-0.09095869213342667,-0.07476289570331573,-0.09095685929059982,0.018762294203042984
340,0.0004923820961266756,0.0006073522381484509,0.00037741195410490036,nan,-0.0883491039276123,-0.08976033329963684,-0.0757937952876091,-0.08975936472415924,0.01835228130221367
350,0.00047571276081725955,0.0006194408633746207,0.0003319846582598984,nan,-0.08885829895734787,-0.08787060528993607,-0.07559248805046082,-0.08786986768245697,0.017793741077184677
360,0.0004796689026989043,0.0006259984220378101,0.00033333932515233755,nan,-0.09024456888437271,-0.08646705746650696,-0.07667757570743561,-0.08646609634160995,0.017494425177574158
370,0.0005844441475346684,0.0008395358454436064,0.00032935250783339143,nan,-0.08740919828414917,-0.08488918840885162,-0.07364924997091293,-0.0848882645368576,0.01805035024881363
